Ticker,Year_T,Predicted_Growth,Confidence,Allocation_Weight
SPLK,2023,0.09141561923654445,0.5039029606091454,0.0
SPLK,2023,0.08787232489814291,0.5014589499675474,0.0
SPLK,2023,0.12326248359607761,0.5017339326910228,0.0
SPLP-PA,2019,0.0765797633114554,0.5003982462376387,0.0
SPLP-PA,2020,0.020691067160869565,0.5003226830781399,0.0
SPLP-PA,2020,0.02165268914079313,0.5002371542652239,0.0
SPLP-PA,2020,0.012829158126406181,0.5002971566285483,0.0
SPLP-PA,2020,0.009567472513980664,0.5002212689239257,0.0
SPLP-PA,2021,-0.0015886814822982783,0.5003727731320043,0.0
SPLP-PA,2021,-0.0029625618817657653,0.5000863946498564,0.0
SPLP-PA,2021,-0.0026205105521521803,0.5002218422598538,0.0
SPLP-PA,2021,-0.0026249459320985494,0.5001277778523835,0.0
