ticker,total_years,avg_net_income,profit_consistency_ratio,net_income_volatility,income_growth,quality_score,stability_score,growth_score,allocation_score,portfolio_decision
BALY,5,-132808042.9,0.2,183944577.2,-247974919.9,4,4,5,4.2,Strong Allocation
MERC,5,26348936.02,0.4,188705066.6,-236894312.5,4,4,5,4.2,Strong Allocation
RCUS,5,-149989519.8,0.2,150111682.5,-239752831.4,4,4,5,4.2,Strong Allocation
PLCE,5,-3610804.08,0.4,145592921.5,-223509681.5,4,4,5,4.2,Strong Allocation
TXG,5,-211937757.2,0,209228960.8,-221153930.3,4,4,5,4.2,Strong Allocation
SNH,5,-72107622.58,0.2,166713504,-198793423.6,4,4,5,4.2,Strong Allocation
PEB,5,-126253594.8,0.2,184271522.4,-197159664.2,4,4,5,4.2,Strong Allocation
WISH,5,-388473655.8,0,217099152.5,-187070148.7,4,4,5,4.2,Strong Allocation
PRGO,5,-46331208.92,0.2,120959975.9,-156570562,4,4,5,4.2,Strong Allocation
CRNC,5,-47131854.26,0.4,157892385.6,-153476048.4,4,4,5,4.2,Strong Allocation
RGNX,5,-122917298.3,0.2,166929861,-162167732.7,4,4,5,4.2,Strong Allocation
CPS,5,-189022486,0.2,148446155.8,-274269450.3,4,4,5,4.2,Strong Allocation
CMPR,5,-27466791.44,0.4,118344646.7,-278364413.8,4,4,5,4.2,Strong Allocation
DDD,5,-72628578.68,0.2,243789184.3,-279331298.4,4,4,5,4.2,Strong Allocation
SWTX,5,-178961725.9,0,127152483.5,-262382351,4,4,5,4.2,Strong Allocation
CHRS,5,-122977436,0.4,213108669.6,-322012644.4,4,4,5,4.2,Strong Allocation
SPCE,5,-438688455.1,0,153613525.4,-295020495.7,4,4,5,4.2,Strong Allocation
SVC,5,-155431317.2,0.2,306949291.3,-290452951,4,4,5,4.2,Strong Allocation
MAC,5,-91305609.38,0.4,158138601.7,-377453935.5,4,4,5,4.2,Strong Allocation
SPOT,5,-391479064.7,0,263651654.3,-378578663.4,4,4,5,4.2,Strong Allocation
BZUN,5,34640219.62,0.4,153085904.8,-328150215.9,4,4,5,4.2,Strong Allocation
PCVX,5,-134454402.1,0.2,192192906.3,-365225753.7,4,4,5,4.2,Strong Allocation
XBIT,5,111235697.1,0.2,295512628.1,-663549002.4,4,4,5,4.2,Strong Allocation
IONS,5,-163054345.5,0.2,298150776.5,-672003266.2,4,4,5,4.2,Strong Allocation
U,5,-531936951.1,0,325811033.3,-626970031.2,4,4,5,4.2,Strong Allocation
HBI,5,94488989.74,0.4,297610596.5,-627768325.4,4,4,5,4.2,Strong Allocation
EVA,5,-193070816.6,0.2,287995936.1,-686863516,4,4,5,4.2,Strong Allocation
SNOW,5,-643752597.8,0,203815411.9,-468429019.3,4,4,5,4.2,Strong Allocation
PBI,5,-66769233.42,0.4,226279367.8,-593589603.3,4,4,5,4.2,Strong Allocation
SMMT,5,-167775914.2,0,239658023.1,-565626798.8,4,4,5,4.2,Strong Allocation
CPHI,5,-5421815545,0,8806099721,20926281061,5,5,1,4.2,Strong Allocation
LYFT,5,-1452167100,0,830824442.4,2255234554,5,5,1,4.2,Strong Allocation
BHC,5,-835225206.2,0,636031317.7,1275434938,5,5,1,4.2,Strong Allocation
IEP,5,-819065929.5,0,537783922.6,406051284.5,5,5,1,4.2,Strong Allocation
CLOV,5,-323126871,0,173222476.8,147165249.3,5,4,2,4.1,Strong Allocation
Z,5,-254420090.6,0,178051818.5,142392205,5,4,2,4.1,Strong Allocation
CCO,5,-358690629,0,177016897.4,75733461.6,5,4,2,4.1,Strong Allocation
BB,5,-420937176.5,0.2,472829879.8,17949361,4,5,3,4.1,Strong Allocation
ACET,5,-66957671.5,0,43723876.45,-109198813.3,5,2,5,4.1,Strong Allocation
BCAB,5,-79394962.36,0,44075061.5,-99905830.6,5,2,5,4.1,Strong Allocation
RPD,5,-113691010.1,0,39843616.52,-100618635.7,5,2,5,4.1,Strong Allocation
AKRO,5,-97841469.42,0,38175441.02,-102204249.8,5,2,5,4.1,Strong Allocation
